URL,NombreTelefono,Colores,ImagenTelefono,Marca,Disponible,Sistema Operativo,Almacenamiento,Tiene SIM,Bateria,Tiene Audifonos,Tiene Bluetooth,Cable Conexion,Camara,Camara Video,Tiene Lector Huella,Tiene Localizacion,Tiene Memoria Adicional,Tiene NFC,Tamanio,Precio Fabrica,Procesamiento,Tiene Radio,RAM,Reciente,Reconocimiento Rostro,Resolucion,Selfie,Selfie Video
https://www.gsmarena.com/zte_blade_v8-8501.php,ZTE Blade V8,"Rose Gold, Silver, Dark Grey, Champagne Gold",https://fdn2.gsmarena.com/vv/bigpic/zte-balde-v8-.jpg,Otra marca,1,android,Baja,Si,Baja,Si,Si,microUSB,Media,Mediana,Si,Si,Si,No,Chico,Medio,Media,Si,Media,Viejo,No,Baja,Media,Media
https://www.gsmarena.com/asus_zenfone_ar_zs571kl-8502.php,Asus Zenfone AR ZS571KL,Black,https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-ar-.jpg,Otra marca,1,android,Media,Si,Media,Si,Si,USB Type-C,Media,Mediana,Si,Si,Si,No,Mediano,Alto,Media,Si,Alta,Viejo,No,Media,Media,Media
https://www.gsmarena.com/asus_zenfone_go_zb690kg-8503.php,Asus Zenfone Go ZB690KG,"Glacier Grey, Pearl White",https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-go-zb690kg.jpg,Otra marca,1,android,Baja,Si,Media,Si,Si,microUSB,Baja,Mediana,No,Si,Si,No,Mediano,Medio,Baja,No,Baja,Viejo,No,Baja,Baja,Baja
https://www.gsmarena.com/zte_blade_v8_pro-8504.php,ZTE Blade V8 Pro,Black,https://fdn2.gsmarena.com/vv/bigpic/zte-blade-v8-pro.jpg,Otra marca,1,android,Media,Si,Media,Si,Si,USB Type-C,Media,Mediana,Si,Si,Si,Si,Mediano,Medio,Media,Si,Media,Viejo,No,Baja,Media,Media
https://www.gsmarena.com/samsung_galaxy_note8-8505.php,Samsung Galaxy Note8,"Midnight Black, Maple Gold, Orchid Gray, Deep Sea Blue, Star Pink",https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-note-8-sm-n950.jpg,Samsung,1,android,Media,Si,Media,Si,Si,USB Type-C,Media,Mediana,Si,Si,Si,Si,Mediano,Alto,Baja,No,Alta,Viejo,No,Media,Media,Alta
https://www.gsmarena.com/lenovo_b-8506.php,Lenovo B,"Black, White, Gold",https://fdn2.gsmarena.com/vv/bigpic/lenovo-b.jpg,Otra marca,1,android,Baja,Si,Baja,Si,Si,microUSB,Baja,Baja,No,Si,Si,No,Chico,Medio,Baja,Si,Baja,Viejo,No,Baja,Baja,Baja
https://www.gsmarena.com/xiaomi_mi_6-8507.php,Xiaomi Mi 6,"Ceramic Black, Black, Blue, White",https://fdn2.gsmarena.com/vv/bigpic/xiaomi-mi-6.jpg,Otra marca,1,android,Media,Si,Media,No,Si,USB Type-C,Media,Mediana,Si,Si,No,Si,Chico,Alto,Media,No,Media,Viejo,No,Baja,Media,Media
https://www.gsmarena.com/blackberry_keyone-8508.php,BlackBerry Keyone,"Black/Silver, Black, Bronze",https://fdn2.gsmarena.com/vv/bigpic/blackberry-keyone-mercury.jpg,Otra marca,1,android,Media,Si,Media,Si,Si,USB Type-C,Media,Mediana,Si,Si,Si,Si,Chico,Medio,Media,Si,Media,Viejo,No,Media,Media,Media
https://www.gsmarena.com/asus_zenfone_3_zoom_ze553kl-8509.php,Asus Zenfone 3 Zoom ZE553KL,"Navy Black, Glacier Silver, Rose Gold",https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-3-zoom-ze553kl.jpg,Otra marca,1,android,Media,Si,Alta,Si,Si,USB Type-C,Media,Mediana,Si,Si,Si,No,Mediano,Alto,Media,Si,Media,Viejo,No,Baja,Media,Media
https://www.gsmarena.com/alcatel_a3_xl-8512.php,alcatel A3 XL,"Sideral Gray/Silver,  White/Silver, White/Blue, White/Fuchsia, White/Yellow, Gold",https://fdn2.gsmarena.com/vv/bigpic/alcatel-a3-xl-new.jpg,Otra marca,1,android,Baja,Si,Media,Si,Si,microUSB,Media,Mediana,Si,Si,Si,No,Mediano,Medio,Baja,Si,Media,Viejo,No,Media,Media,Baja
https://www.gsmarena.com/nokia_2-8513.php,Nokia 2,"Pewter/Black, Pewter/White, Copper/Black",https://fdn2.gsmarena.com/vv/bigpic/nokia2-.jpg,Otra marca,1,android,Baja,Si,Alta,Si,Si,microUSB,Media,Baja,No,Si,Si,No,Chico,Medio,Baja,Si,Baja,Viejo,No,Baja,Media,Media
https://www.gsmarena.com/huawei_p10-8514.php,Huawei P10,"Mystic Silver, Rose Gold, Graphite Black, Dazzling Gold, Dazzling Blue, Greenery",https://fdn2.gsmarena.com/vv/bigpic/huawei-p10-.jpg,Otra marca,1,android,Media,Si,Media,Si,Si,USB Type-C,Media,Mediana,Si,Si,Si,Si,Chico,Medio,Media,No,Media,Viejo,No,Baja,Media,Media
https://www.gsmarena.com/huawei_p10_plus-8515.php,Huawei P10 Plus,"Ceramic White, Dazzling Blue, Dazzling Gold, Graphite Black, Mystic Silver, Rose Gold, Greenery",https://fdn2.gsmarena.com/vv/bigpic/huawei-p10-plus-r1.jpg,Otra marca,1,android,Media,Si,Media,Si,Si,USB Type-C,Media,Mediana,Si,Si,Si,Si,Mediano,Medio,Media,No,Media,Viejo,No,Media,Media,Media
https://www.gsmarena.com/huawei_p8_lite_(2017)-8516.php,Huawei P8 Lite (2017),"Black, White, Gold, Blue",https://fdn2.gsmarena.com/vv/bigpic/huawei-p8-lite-2017.jpg,Otra marca,1,android,Baja,Si,Media,Si,Si,microUSB,Media,Mediana,Si,Si,Si,Si,Chico,Medio,Media,Si,Media,Viejo,No,Baja,Media,Media
https://www.gsmarena.com/htc_u_play-8518.php,HTC U Play,"Brilliant Black, Cosmetic Pink, Ice White, Sapphire Blue",https://fdn2.gsmarena.com/vv/bigpic/htc-u-play.jpg,Otra marca,1,android,Media,Si,Media,No,Si,USB Type-C,Media,Mediana,Si,Si,Si,Si,Chico,Medio,Media,No,Media,Viejo,No,Baja,Alta,Media
https://www.gsmarena.com/htc_u_ultra-8519.php,HTC U Ultra,"Brilliant Black, Cosmetic Pink, Ice White, Sapphire Blue",https://fdn2.gsmarena.com/vv/bigpic/htc-u-ultra.jpg,Otra marca,1,android,Media,Si,Media,No,Si,USB Type-C,Media,Mediana,Si,Si,Si,Si,Mediano,Medio,Media,No,Media,Viejo,No,Media,Alta,Media
https://www.gsmarena.com/nokia_8-8522.php,Nokia 8,"Tempered Blue, Polished Blue, Steel, Polished Copper",https://fdn2.gsmarena.com/vv/bigpic/nokia-8-.jpg,Otra marca,1,android,Media,Si,Media,Si,Si,USB Type-C,Media,Mediana,Si,Si,Si,Si,Mediano,Medio,Media,No,Media,Viejo,No,Media,Media,Alta
https://www.gsmarena.com/samsung_galaxy_s8+-8523.php,Samsung Galaxy S8+,"Midnight Black, Orchid Gray, Arctic Silver, Coral Blue, Maple Gold, Rose Pink",https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s8-plus-.jpg,Samsung,1,android,Media,Si,Media,Si,Si,USB Type-C,Media,Mediana,Si,Si,Si,Si,Mediano,Alto,Baja,No,Media,Viejo,No,Media,Media,Alta
https://www.gsmarena.com/vivo_v5_plus-8528.php,vivo V5 Plus,"Gold, Gray",https://fdn2.gsmarena.com/vv/bigpic/vivo-v5-plus.jpg,Otra marca,1,android,Media,Si,Media,Si,Si,microUSB,Media,Mediana,Si,Si,No,No,Mediano,Alto,Media,No,Media,Viejo,No,Baja,Alta,Media
https://www.gsmarena.com/xiaomi_mi_mix_2-8529.php,Xiaomi Mi Mix 2,"Black, White",https://fdn2.gsmarena.com/vv/bigpic/xiaomi-mi-mix2-new.jpg,Otra marca,1,android,Media,Si,Media,No,Si,USB Type-C,Media,Mediana,Si,Si,No,Si,Mediano,Alto,Media,No,Alta,Viejo,No,Media,Media,Media
https://www.gsmarena.com/xiaomi_redmi_note_4-8531.php,Xiaomi Redmi Note 4,"Dark Gray, Gold, Black, Lake Blue",https://fdn2.gsmarena.com/vv/bigpic/xiaomi-redmi-note-4-sn.jpg,Otra marca,1,android,Media,Si,Media,Si,Si,microUSB,Media,Mediana,Si,Si,Si,No,Mediano,Medio,Media,Si,Media,Viejo,No,Baja,Media,Media
https://www.gsmarena.com/vivo_v5_lite_(vivo_1609)-8532.php,vivo V5 Lite (vivo 1609),"Crown Gold, Rose Gold",https://fdn2.gsmarena.com/vv/bigpic/vivo-v5-lite.jpg,Otra marca,1,android,Media,Si,Media,Si,Si,microUSB,Media,Mediana,No,Si,Si,No,Mediano,Medio,Baja,Si,Media,Viejo,No,Baja,Alta,Media
https://www.gsmarena.com/asus_zenpad_3s_10_z500kl-8543.php,Asus Zenpad 3S 10 Z500KL,"Silver, Grey",https://fdn2.gsmarena.com/vv/bigpic/asus-zenpad-3s.jpg,Otra marca,1,android,Media,Si,Alta,Si,Si,USB Type-C,Media,Mediana,No,Si,Si,No,Grande,Alto,Media,No,Media,Viejo,No,Media,Media,Media
https://www.gsmarena.com/zte_blade_l110_(a110)-8548.php,ZTE Blade L110 (A110),Black,https://fdn2.gsmarena.com/vv/bigpic/zte-blade-l110.jpg,Otra marca,1,android,Baja,Si,Baja,Si,Si,microUSB,Baja,Baja,No,Si,Si,No,Chico,Bajo,Baja,Si,Baja,Viejo,No,Baja,Baja,Baja
https://www.gsmarena.com/lenovo_yoga_tab_3_pro-8549.php,Lenovo Yoga Tab 3 Pro,Black,https://fdn2.gsmarena.com/vv/bigpic/lenovo-yoga-tab-3-pro.jpg,Otra marca,1,android,Media,Si,Baja,Si,Si,microUSB,Media,Mediana,No,Si,Si,No,Grande,Alto,Media,No,Media,Viejo,No,Baja,Media,Baja
https://www.gsmarena.com/asus_zenfone_3s_max_zc521tl-8550.php,Asus Zenfone 3s Max ZC521TL,"Gold, Black",https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-3s-max-zc-521tl.jpg,Otra marca,1,android,Media,Si,Alta,Si,Si,microUSB,Media,Mediana,Si,Si,Si,No,Chico,Medio,Media,Si,Media,Viejo,No,Baja,Media,Media
https://www.gsmarena.com/lg_watch_style-8551.php,LG Watch Style,"Silver, Titanium, Rose Gold",https://fdn2.gsmarena.com/vv/bigpic/lg-watch-style.jpg,Otra marca,1,android,Baja,No,Baja,No,Si,No,Baja,Baja,No,No,No,No,Chico,Medio,Baja,No,Baja,Viejo,No,Media,Baja,Baja
https://www.gsmarena.com/lg_watch_sport-8552.php,LG Watch Sport,"Titanium, dark blue",https://fdn2.gsmarena.com/vv/bigpic/lg-watch-sport-r1.jpg,Otra marca,1,android,Baja,Si,Baja,No,Si,No,Baja,Baja,No,Si,No,Si,Chico,Medio,Baja,No,Baja,Viejo,No,Media,Baja,Baja
https://www.gsmarena.com/samsung_galaxy_tab_s3_9_7-8554.php,Samsung Galaxy Tab S3 9.7,"White, black",https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-tab-s3-97-sm-t825.jpg,Samsung,1,android,Media,Si,Alta,Si,Si,USB Type-C,Media,Mediana,Si,Si,Si,No,Grande,Alto,Media,No,Media,Viejo,No,Media,Media,Media
https://www.gsmarena.com/lenovo_tab3_8_plus-8559.php,Lenovo Tab3 8 Plus,"Black, White",https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab3-8.jpg,Otra marca,1,android,Baja,Si,Media,Si,Si,microUSB,Media,Mediana,No,Si,Si,No,Grande,Medio,Media,No,Media,Viejo,No,Media,Media,Baja
https://www.gsmarena.com/samsung_galaxy_j7_pro-8561.php,Samsung Galaxy J7 Pro,"Black, Blue, Gold, Rose Gold",https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-j7-pro.jpg,Samsung,1,android,Baja,Si,Media,Si,Si,microUSB,Media,Mediana,Si,Si,Si,Si,Mediano,Medio,Media,Si,Media,Viejo,No,Baja,Media,Media
https://www.gsmarena.com/zte_blade_a2_plus-8562.php,ZTE Blade A2 Plus,Gold,https://fdn2.gsmarena.com/vv/bigpic/zte-blade-a2-plus.jpg,Otra marca,1,android,Media,Si,Alta,Si,Si,microUSB,Media,Mediana,Si,Si,Si,No,Mediano,Medio,Media,Si,Media,Viejo,No,Baja,Media,Baja
https://www.gsmarena.com/zte_quartz-8567.php,ZTE Quartz,Silver,https://fdn2.gsmarena.com/vv/bigpic/zte-quartz-r.jpg,Otra marca,1,android,Baja,Si,Baja,No,Si,No,Baja,Baja,No,Si,No,No,Chico,Medio,Baja,No,Baja,Viejo,No,Media,Baja,Baja
https://www.gsmarena.com/honor_8_pro-8568.php,Honor 8 Pro,"Pearl White, Midnight Black, Navy Blue",https://fdn2.gsmarena.com/vv/bigpic/huawei-honor-8-pro.jpg,Otra marca,1,android,Media,Si,Media,Si,Si,USB Type-C,Media,Mediana,Si,Si,Si,Si,Mediano,Alto,Media,No,Media,Viejo,No,Media,Media,Media
https://www.gsmarena.com/alcatel_idol_5s_(usa)-8569.php,alcatel Idol 5s (USA),Crystal Black,https://fdn2.gsmarena.com/vv/bigpic/alcatel-idol-5s-.jpg,Otra marca,1,android,Media,Si,Media,Si,Si,USB Type-C,Media,Mediana,Si,Si,Si,No,Chico,Medio,Media,Si,Media,Viejo,No,Baja,Media,Baja
https://www.gsmarena.com/nokia_5-8571.php,Nokia 5,"Tempered Blue, Silver, Matte Black, Copper",https://fdn2.gsmarena.com/vv/bigpic/nokia-5n.jpg,Otra marca,1,android,Baja,Si,Media,Si,Si,microUSB,Media,Mediana,Si,Si,Si,Si,Chico,Medio,Media,Si,Media,Viejo,No,Baja,Media,Media
https://www.gsmarena.com/nokia_3-8572.php,Nokia 3,"Silver White, Matte Black, Tempered Blue, Copper White",https://fdn2.gsmarena.com/vv/bigpic/nokia-3.jpg,Otra marca,1,android,Baja,Si,Baja,Si,Si,microUSB,Media,Baja,No,Si,Si,Si,Chico,Medio,Baja,Si,Media,Viejo,No,Baja,Media,Media
https://www.gsmarena.com/apple_iphone_8-8573.php,Apple iPhone 8,"Silver, Space Gray, Gold, Red",https://fdn2.gsmarena.com/vv/bigpic/apple-iphone-8-new.jpg,Apple,1,ios,Media,Si,Baja,No,Si,Otro,Media,Alta,Si,Si,No,Si,Chico,Medio,Baja,No,Media,Viejo,No,Media,Media,Media
https://www.gsmarena.com/samsung_galaxy_xcover_4-8577.php,Samsung Galaxy Xcover 4,Gray,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-xcover4-g390f-.jpg,Samsung,1,android,Baja,Si,Media,Si,Si,microUSB,Media,Mediana,No,Si,Si,Si,Chico,Medio,Baja,Si,Media,Viejo,No,Baja,Media,Baja
https://www.gsmarena.com/huawei_mediapad_t3_8_0-8578.php,Huawei MediaPad T3 8.0,"Space Gray, Luxurious Gold",https://fdn2.gsmarena.com/vv/bigpic/huawei-mediapad-t3-8.jpg,Otra marca,1,android,Baja,Si,Alta,Si,Si,microUSB,Baja,Mediana,No,Si,No,No,Grande,Medio,Baja,No,Media,Viejo,No,Media,Baja,Baja
https://www.gsmarena.com/asus_zenfone_live_zb501kl-8579.php,Asus Zenfone Live ZB501KL,"Shimmer Gold/Rose, Pink/Navy Black",https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-live-zb501kl.jpg,Otra marca,1,android,Baja,Si,Baja,Si,Si,microUSB,Media,Mediana,No,Si,Si,No,Chico,Medio,Baja,Si,Media,Viejo,No,Baja,Media,Baja
https://www.gsmarena.com/xiaomi_redmi_note_4x-8580.php,Xiaomi Redmi Note 4X,"Platinum Silver, Champagne Gold, Matte Black, Hatsune Miku, Sakura Powder",https://fdn2.gsmarena.com/vv/bigpic/xiaomi-redmi-note-4x.jpg,Otra marca,1,android,Baja,Si,Media,Si,Si,microUSB,Media,Mediana,Si,Si,Si,No,Mediano,Medio,Media,Si,Media,Viejo,No,Baja,Media,Media
https://www.gsmarena.com/xiaomi_mi_max_2-8582.php,Xiaomi Mi Max 2,"Gold, Matte Black",https://fdn2.gsmarena.com/vv/bigpic/xiaomi-mi-max2.jpg,Otra marca,1,android,Media,Si,Alta,Si,Si,USB Type-C,Media,Mediana,Si,Si,Si,No,Mediano,Medio,Media,Si,Media,Viejo,No,Baja,Media,Media
https://www.gsmarena.com/lg_x_power2-8584.php,LG X power2,"Black Titan, Shiny Titan, Shiny Gold, Shiny Blue",https://fdn2.gsmarena.com/vv/bigpic/lg-x-power2.jpg,Otra marca,1,android,Baja,Si,Alta,Si,Si,microUSB,Media,Mediana,No,Si,Si,No,Mediano,Medio,Baja,Si,Baja,Viejo,No,Baja,Media,Baja
https://www.gsmarena.com/huawei_watch_2-8585.php,Huawei Watch 2,"Dynamic Orange, Carbon Black, Concrete Grey",https://fdn2.gsmarena.com/vv/bigpic/huawei-watch-2-.jpg,Otra marca,1,android,Baja,Si,Baja,No,Si,No,Baja,Baja,No,Si,No,Si,Chico,Medio,Baja,No,Baja,Viejo,No,Media,Baja,Baja
https://www.gsmarena.com/vivo_y55s-8588.php,vivo Y55s (2017),"Crown Gold, Rose Gold, Space Gray",https://fdn2.gsmarena.com/vv/bigpic/vivo-y55s.jpg,Otra marca,1,android,Baja,Si,Baja,Si,Si,microUSB,Media,Mediana,No,Si,Si,No,Chico,Medio,Baja,Si,Media,Viejo,No,Baja,Media,Baja
https://www.gsmarena.com/alcatel_a3-8589.php,alcatel A3,"White, Gray",https://fdn2.gsmarena.com/vv/bigpic/alcatel-a3.jpg,Otra marca,1,android,Baja,Si,Baja,Si,Si,microUSB,Media,Mediana,Si,Si,Si,No,Chico,Medio,Baja,Si,Baja,Viejo,No,Baja,Media,Baja
https://www.gsmarena.com/alcatel_a5_led-8590.php,alcatel A5 LED,Gray,https://fdn2.gsmarena.com/vv/bigpic/alcatel-a5-led.jpg,Otra marca,1,android,Baja,Si,Media,Si,Si,microUSB,Media,Mediana,Si,Si,Si,No,Chico,Medio,Media,Si,Media,Viejo,No,Baja,Media,Baja
https://www.gsmarena.com/alcatel_u5-8591.php,alcatel U5,"Black, White",https://fdn2.gsmarena.com/vv/bigpic/alcatel-u5.jpg,Otra marca,1,android,Baja,Si,Baja,Si,Si,microUSB,Baja,Baja,No,Si,Si,No,Chico,Medio,Baja,Si,Baja,Viejo,No,Baja,Baja,Baja
https://www.gsmarena.com/sony_xperia_xz_premium-8593.php,Sony Xperia XZ Premium,"Luminous Chrome, Deepsea Black, Bronze Pink, Rosso",https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xz-premium-2017.jpg,Otra marca,1,android,Media,Si,Media,Si,Si,USB Type-C,Media,Mediana,Si,Si,Si,Si,Mediano,Alto,Media,No,Media,Viejo,No,Media,Media,Media
https://www.gsmarena.com/huawei_watch_2_classic-8594.php,Huawei Watch 2 Classic,Titanium Grey,https://fdn2.gsmarena.com/vv/bigpic/huawei-watch-2-active.jpg,Otra marca,1,android,Baja,No,Baja,No,Si,No,Baja,Baja,No,Si,No,Si,Chico,Medio,Baja,No,Baja,Viejo,No,Media,Baja,Baja
https://www.gsmarena.com/sony_xperia_xa1_ultra-8595.php,Sony Xperia XA1 Ultra,"White, Black, Gold, Pink",https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xa1-ultra-2017.jpg,Otra marca,1,android,Media,Si,Media,Si,Si,USB Type-C,Media,Mediana,No,Si,Si,Si,Mediano,Medio,Media,Si,Media,Viejo,No,Baja,Alta,Media
https://www.gsmarena.com/sony_xperia_xa1-8596.php,Sony Xperia XA1,"White, Black, Gold, Pink",https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xa1-2017.jpg,Otra marca,1,android,Media,Si,Baja,Si,Si,USB Type-C,Media,Mediana,No,Si,Si,Si,Chico,Medio,Media,Si,Media,Viejo,No,Baja,Media,Media
https://www.gsmarena.com/nokia_3310_(2017)-8597.php,Nokia 3310 (2017),"Warm Red (Glossy), Dark Blue (Matte), Yellow (Glossy), Grey (Matte)",https://fdn2.gsmarena.com/vv/bigpic/nokia-3310-2017-orig.jpg,Otra marca,1,,Baja,Si,Baja,Si,Si,microUSB,Baja,Baja,No,No,Si,No,Chico,Bajo,Media,Si,Baja,Viejo,No,Media,Baja,Baja
https://www.gsmarena.com/huawei_p10_lite-8598.php,Huawei P10 Lite,"Pearl White, Graphite Black, Platinum Gold, Sapphire Blue",https://fdn2.gsmarena.com/vv/bigpic/huawei-p10-lite.jpg,Otra marca,1,android,Media,Si,Media,Si,Si,microUSB,Media,Mediana,Si,Si,Si,Si,Chico,Medio,Media,Si,Media,Viejo,No,Baja,Media,Media
https://www.gsmarena.com/sony_xperia_xzs-8599.php,Sony Xperia XZs,"Black, Warm Silver, Ice Blue",https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xzs-2017.jpg,Otra marca,1,android,Media,Si,Media,Si,Si,USB Type-C,Media,Mediana,Si,Si,Si,Si,Chico,Medio,Media,No,Media,Viejo,No,Baja,Media,Media
https://www.gsmarena.com/zte_blade_v8_mini-8600.php,ZTE Blade V8 Mini,"Gold, Rose Gold",https://fdn2.gsmarena.com/vv/bigpic/zte-blade-v8-mini.jpg,Otra marca,1,android,Baja,Si,Media,Si,Si,microUSB,Media,Mediana,Si,Si,Si,No,Chico,Medio,Media,Si,Media,Viejo,No,Baja,Media,Baja
https://www.gsmarena.com/zte_blade_v8_lite-8601.php,ZTE Blade V8 Lite,Black,https://fdn2.gsmarena.com/vv/bigpic/zte-blade-v8-lite-.jpg,Otra marca,1,android,Baja,Si,Baja,Si,Si,microUSB,Media,Baja,Si,Si,Si,No,Chico,Medio,Media,Si,Media,Viejo,No,Baja,Media,Baja
https://www.gsmarena.com/lenovo_tab_4_8-8602.php,Lenovo Tab 4 8,"Black, White",https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-4-8-.jpg,Otra marca,1,android,Baja,Si,Alta,Si,Si,microUSB,Baja,Mediana,No,Si,Si,No,Grande,Medio,Baja,Si,Media,Viejo,No,Media,Baja,Baja
https://www.gsmarena.com/lenovo_tab_4_8_plus-8603.php,Lenovo Tab 4 8 Plus,"Aurora Black, Sparkling White",https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-4-8-.jpg,Otra marca,1,android,Baja,Si,Alta,Si,Si,USB Type-C,Media,Mediana,Si,Si,Si,No,Grande,Medio,Media,Si,Media,Viejo,No,Media,Media,Baja
https://www.gsmarena.com/lenovo_tab_4_10-8604.php,Lenovo Tab 4 10,"Black, White",https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-4-10.jpg,Otra marca,1,android,Baja,Si,Alta,Si,Si,microUSB,Baja,Mediana,No,Si,Si,No,Grande,Medio,Baja,Si,Media,Viejo,No,Baja,Baja,Baja
https://www.gsmarena.com/lenovo_tab_4_10_plus-8605.php,Lenovo Tab 4 10 Plus,"Aurora Black, Sparkling White",https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-4-10.jpg,Otra marca,1,android,Baja,Si,Alta,Si,Si,USB Type-C,Media,Mediana,Si,Si,Si,No,Grande,Medio,Media,Si,Media,Viejo,No,Media,Media,Baja
https://www.gsmarena.com/zte_nubia_n1_lite-8607.php,ZTE nubia N1 lite,Black,https://fdn2.gsmarena.com/vv/bigpic/nubia-n1-lite.jpg,Otra marca,1,android,Baja,Si,Media,Si,Si,microUSB,Media,Mediana,Si,Si,Si,No,Mediano,Medio,Baja,Si,Media,Viejo,No,Baja,Media,Baja
https://www.gsmarena.com/xiaomi_redmi_4_(4x)-8608.php,Xiaomi Redmi 4 (4X),"Black, Gold",https://fdn2.gsmarena.com/vv/bigpic/xiaomi-redmi-4x.jpg,Otra marca,1,android,Baja,Si,Media,Si,Si,microUSB,Media,Mediana,Si,Si,Si,No,Chico,Medio,Media,Si,Media,Viejo,No,Baja,Media,Media
https://www.gsmarena.com/zte_blade_a520-8609.php,ZTE Blade A520,Gray,https://fdn2.gsmarena.com/vv/bigpic/zte-a520.jpg,Otra marca,1,android,Baja,Si,Baja,Si,Si,microUSB,Media,Mediana,No,Si,Si,No,Chico,Medio,Baja,Si,Baja,Viejo,No,Baja,Media,Baja
https://www.gsmarena.com/sony_xperia_xz1_compact-8610.php,Sony Xperia XZ1 Compact,"Black, White Silver, Horizon Blue, Twilight Pink",https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xz1-compact.jpg,Otra marca,1,android,Media,Si,Baja,Si,Si,USB Type-C,Media,Mediana,Si,Si,Si,Si,Chico,Medio,Media,No,Media,Viejo,No,Media,Media,Media
https://www.gsmarena.com/blackberry_aurora-8612.php,BlackBerry Aurora,"Black, Silver, Gold",https://fdn2.gsmarena.com/vv/bigpic/blackberry-aurora.jpg,Otra marca,1,android,Media,Si,Media,Si,Si,microUSB,Media,Mediana,No,Si,Si,No,Mediano,Medio,Baja,No,Media,Viejo,No,Baja,Media,Baja
https://www.gsmarena.com/oppo_f3_plus-8613.php,Oppo F3 Plus,"Pink, Gold",https://fdn2.gsmarena.com/vv/bigpic/oppo-f3-plus.jpg,Otra marca,1,android,Media,Si,Media,Si,Si,microUSB,Media,Mediana,Si,Si,Si,No,Mediano,Alto,Media,No,Media,Viejo,No,Baja,Alta,Media
https://www.gsmarena.com/zte_nubia_z17_mini-8615.php,ZTE nubia Z17 mini,"Elegant Black, Gold Black, Champagne Gold, Red",https://fdn2.gsmarena.com/vv/bigpic/zte-nubia-z17-mini.jpg,Otra marca,1,android,Media,Si,Media,Si,Si,USB Type-C,Media,Mediana,Si,Si,Si,Si,Chico,Medio,Media,Si,Media,Viejo,No,Baja,Alta,Media
https://www.gsmarena.com/vivo_y25-8616.php,vivo Y25,White/Gray,https://fdn2.gsmarena.com/vv/bigpic/vivo-y25.jpg,Otra marca,1,android,Baja,Si,Baja,Si,Si,microUSB,Baja,Baja,No,Si,Si,No,Chico,Medio,Baja,Si,Baja,Viejo,No,Media,Baja,Baja
https://www.gsmarena.com/sony_xperia_l1-8619.php,Sony Xperia L1,"Black, White, Pink",https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-l1-.jpg,Otra marca,1,android,Baja,Si,Media,Si,Si,USB Type-C,Media,Mediana,No,Si,Si,Si,Mediano,Medio,Baja,Si,Media,Viejo,No,Baja,Media,Media
https://www.gsmarena.com/apple_ipad_9_7_(2017)-8620.php,Apple iPad 9.7 (2017),"Silver, Gold, Space Gray",https://fdn2.gsmarena.com/vv/bigpic/apple-ipad-97-2017.jpg,Otra marca,1,ios,Media,Si,Alta,Si,Si,Otro,Media,Mediana,Si,Si,No,No,Grande,Alto,Media,No,Media,Viejo,No,Media,Baja,Media
https://www.gsmarena.com/samsung_gear_s3_classic_lte-8627.php,Samsung Gear S3 classic LTE,Silver,https://fdn2.gsmarena.com/vv/bigpic/samsung-gear-s3-classic-lte.jpg,Samsung,1,tizen,Baja,No,Baja,No,Si,No,Baja,Baja,No,Si,No,Si,Chico,Alto,Media,No,Baja,Viejo,No,Media,Baja,Baja
https://www.gsmarena.com/htc_u11-8630.php,HTC U11,"Amazing Silver, Sapphire Blue, Brilliant Black, Ice White, Solar Red",https://fdn2.gsmarena.com/vv/bigpic/htc-u11.jpg,Otra marca,1,android,Media,Si,Media,No,Si,USB Type-C,Media,Mediana,Si,Si,Si,Si,Mediano,Medio,Media,No,Media,Viejo,No,Media,Alta,Media
https://www.gsmarena.com/huawei_y7_prime-8632.php,Huawei Y7 Prime,"Gray, Silver, Prestige Gold, Black, Aurora Blue",https://fdn2.gsmarena.com/vv/bigpic/huawei-enjoy-7-plus-new.jpg,Otra marca,1,android,Media,Si,Media,Si,Si,microUSB,Media,Mediana,Si,Si,Si,No,Mediano,Medio,Media,Si,Media,Viejo,No,Baja,Media,Baja
